RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex THEPOT,GK,
201,1096,MEX,LUQUE Juan (MEX),S,0,Oscar BONFIGLIO,GK,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel LANGILLER,,G40'
201,1096,MEX,LUQUE Juan (MEX),S,0,Juan CARRENO,,G70'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Ernest LIBERATI,,
201,1096,MEX,LUQUE Juan (MEX),S,0,Rafael GARZA,C,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Andre MASCHINOT,,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Hilario LOPEZ,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Etienne MATTLER,,
201,1096,MEX,LUQUE Juan (MEX),S,0,Dionisio MEJIA,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel PINEL,,
201,1096,MEX,LUQUE Juan (MEX),S,0,Felipe ROSAS,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex VILLAPLANE,C,
201,1096,MEX,LUQUE Juan (MEX),S,0,Manuel ROSAS,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Jose RUIZ,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel CAPELLE,,
201,1096,MEX,LUQUE Juan (MEX),S,0,Alfredo SANCHEZ,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Augustin CHANTREL,,
201,1096,MEX,LUQUE Juan (MEX),S,0,Efrain AMEZCUA,,
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Edmond DELFOUR,,
201,1096,MEX,LUQUE Juan (MEX),S,0,Luis PEREZ,,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Celestin DELMER,,
201,1096,MEX,LUQUE Juan (MEX),N,0,Isidoro SOTA,,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Andre TASSIN,,
201,1096,MEX,LUQUE Juan (MEX),N,0,Jesus CASTRO,,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Nouma ANDOIRE,,
201,1096,MEX,LUQUE Juan (MEX),N,0,Felipe OLIVARES,,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Jean LAURENT,,
201,1096,MEX,LUQUE Juan (MEX),N,0,Raimundo RODRIGUEZ,,
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Emile VEINANTE,,
201,1096,MEX,LUQUE Juan (MEX),N,0,Roberto GAYON,,
201,1096,MEX,LUQUE Juan (MEX),N,0,Francisco GARZA GUTIERREZ,,
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy DOUGLAS,GK,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Arnold BADJOU,GK,
201,1090,USA,MILLAR Bob (USA),S,0,Tom FLORIE,C,G45'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jean DE CLERQ,,
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy GALLAGHER,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jan DIDDENS,,
201,1090,USA,MILLAR Bob (USA),S,0,Billy GONSALVES,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Auguste HELLEMANS,,
201,1090,USA,MILLAR Bob (USA),S,0,Bart McGHEE,,G23'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Nikolaas HOYDONCKX,,
201,1090,USA,MILLAR Bob (USA),S,0,George MOORHOUSE,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Jacques MOESCHAL,,
201,1090,USA,MILLAR Bob (USA),S,0,Bert PATENAUDE,,G69'
201,1090,BEL,GOETINCK Hector (BEL),S,0,Theodore NOUWENS,,
201,1090,USA,MILLAR Bob (USA),S,0,Ralph TRACY,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Fernand ADAMS,,
201,1090,USA,MILLAR Bob (USA),S,0,Alexander WOOD,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Louis VERSYP,,
201,1090,USA,MILLAR Bob (USA),S,0,Andrew AULD,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Bernard VOORHOOF,,
201,1090,USA,MILLAR Bob (USA),S,0,Jim BROWN,,
201,1090,BEL,GOETINCK Hector (BEL),S,0,Pierre BRAINE,C,
