Year,HostCountry,Winner,Second,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,HostContinent,WinnerContinent
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,America,America
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000,Europe,Europe
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700,Europe,Europe
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246,America,America
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768607,Europe,Europe
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810,Europe,America
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172,America,America
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1563135,Europe,Europe
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1603975,America,America
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1865753,Europe,Europe
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791,America,America
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2109723,Europe,Europe
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2394031,America,America
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2516215,Europe,Europe
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538,America,America
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100,Europe,Europe
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197,Asia,America
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439,Europe,Europe
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856,Africa,Europe
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810,America,Europe
2018,Russia,France,Croatia,Belgium,England,169,32,64,3031768,Europe,Europe
